Kommunenummer,Kommunenavn,Valgdistrikt
1251,Vaksdal,Hordaland
1252,Modalen,Hordaland
1253,Osterøy,Hordaland
1256,Meland,Hordaland
1259,Øygarden,Hordaland
1260,Radøy,Hordaland
1263,Lindås,Hordaland
1264,Austrheim,Hordaland
1265,Fedje,Hordaland
1266,Masfjorden,Hordaland
1401,Flora,Sogn og Fjordane
1411,Gulen,Sogn og Fjordane
1412,Solund,Sogn og Fjordane
1413,Hyllestad,Sogn og Fjordane
1416,Høyanger,Sogn og Fjordane
1417,Vik,Sogn og Fjordane
1418,Balestrand,Sogn og Fjordane
1419,Leikanger,Sogn og Fjordane
1420,Sogndal,Sogn og Fjordane
1421,Aurland,Sogn og Fjordane
1422,Lærdal,Sogn og Fjordane
1424,Årdal,Sogn og Fjordane
1426,Luster,Sogn og Fjordane
1428,Askvoll,Sogn og Fjordane
1429,Fjaler,Sogn og Fjordane
1430,Gaular,Sogn og Fjordane
1431,Jølster,Sogn og Fjordane
1432,Førde,Sogn og Fjordane
1433,Naustdal,Sogn og Fjordane
1438,Bremanger,Sogn og Fjordane
1439,Vågsøy,Sogn og Fjordane
1441,Selje,Sogn og Fjordane
1443,Eid,Sogn og Fjordane
1444,Hornindal,Møre og Romsdal
1445,Gloppen,Sogn og Fjordane
1449,Stryn,Sogn og Fjordane
1502,Molde,Møre og Romsdal
1504,Ålesund,Møre og Romsdal
1505,Kristiansund,Møre og Romsdal
1511,Vanylven,Møre og Romsdal
1514,Sande,Møre og Romsdal
1515,Herøy,Møre og Romsdal
1516,Ulstein,Møre og Romsdal
1517,Hareid,Møre og Romsdal
1519,Volda,Møre og Romsdal
1520,Ørsta,Møre og Romsdal
1523,Ørskog,Møre og Romsdal
1524,Norddal,Møre og Romsdal
1525,Stranda,Møre og Romsdal
1526,Stordal,Møre og Romsdal
1528,Sykkylven,Møre og Romsdal
1529,Skodje,Møre og Romsdal
1531,Sula,Møre og Romsdal
1532,Giske,Møre og Romsdal
1534,Haram,Møre og Romsdal
1535,Vestnes,Møre og Romsdal
1539,Rauma,Møre og Romsdal
1543,Nesset,Møre og Romsdal
1545,Midsund,Møre og Romsdal
1546,Sandøy,Møre og Romsdal
1547,Aukra,Møre og Romsdal
1548,Fræna,Møre og Romsdal
1551,Eide,Møre og Romsdal
1554,Averøy,Møre og Romsdal
1557,Gjemnes,Møre og Romsdal
1560,Tingvoll,Møre og Romsdal
1563,Sunndal,Møre og Romsdal
1566,Surnadal,Møre og Romsdal
1567,Rindal,Sør-Trøndelag
1571,Halsa,Sør-Trøndelag
1573,Smøla,Møre og Romsdal
1576,Aure,Møre og Romsdal
1804,Bodø,Nordland
1805,Narvik,Nordland
1811,Bindal,Nordland
1812,Sømna,Nordland
1813,Brønnøy,Nordland
1815,Vega,Nordland
1816,Vevelstad,Nordland
1818,Herøy,Nordland
1820,Alstahaug,Nordland
1822,Leirfjord,Nordland
1824,Vefsn,Nordland
1825,Grane,Nordland
1826,Hattfjelldal,Nordland
1827,Dønna,Nordland
1828,Nesna,Nordland
1832,Hemnes,Nordland
1833,Rana,Nordland
1834,Lurøy,Nordland
1835,Træna,Nordland
1836,Rødøy,Nordland
1837,Meløy,Nordland
1838,Gildeskål,Nordland
1839,Beiarn,Nordland
1840,Saltdal,Nordland
1841,Fauske – Fuossko,Nordland
1845,Sørfold,Nordland
1848,Steigen,Nordland
1849,Hamarøy – Hábmer,Nordland
1850,Divtasvuodna – Tysfjord,Nordland
1851,Lødingen,Nordland
1852,Tjeldsund,Troms
1853,Evenes,Nordland
1854,Ballangen,Nordland
1856,Røst,Nordland
1857,Værøy,Nordland
1859,Flakstad,Nordland
1860,Vestvågøy,Nordland
1865,Vågan,Nordland
1866,Hadsel,Nordland
1867,Bø,Nordland
1868,Øksnes,Nordland
1870,Sortland – Suortá,Nordland
1871,Andøy,Nordland
1874,Moskenes,Nordland
1902,Tromsø,Troms
1903,Harstad – Hárstták,Troms
1911,Kvæfjord,Troms
1913,Skånland,Troms
1917,Ibestad,Troms
1919,Gratangen,Troms
1920,Loabák – Lavangen,Troms
1922,Bardu,Troms
1923,Salangen,Troms
1924,Målselv,Troms
1925,Sørreisa,Troms
1926,Dyrøy,Troms
1927,Tranøy,Troms
1928,Torsken,Troms
1929,Berg,Troms
1931,Lenvik,Troms
1933,Balsfjord,Troms
1936,Karlsøy,Troms
1938,Lyngen,Troms
